Material code	Material descr
20075012	TFXP-JETNet 4G240AFV, 1kV
20076221	AXPK 4G16 RM 1kV
20076222	AXPK 4G25 1kV
20076224	AXPK 4G35 1kV
20076226	AXPK 4G50 1kV
20076228	AXPK 4G70 1kV
20076233	AXPK 4G150 1kV
20076234	AXPK 4G185 1kV
20076235	AXPK 4G240 1kV
20076231	AXPK 4G120 1kV
20076239	AXPK-PE 4G35 1kV
20076242	AXPK-PE 4G95 1kV
20076245	AXPK-PE 4G185 1kV
20076253	AXPK-PLUS 4G70, 1kV
20076254	AXPK-PLUS 4G95, 1kV
20076256	AXPK-PLUS 4G150, 1kV
20076236	AXPK 4G300 1kV
20076240	AXPK-PE 4G50 1kV
20076241	AXPK-PE 4G70 1kV
20076243	AXPK-PE 4G120 1kV
20076244	AXPK-PE 4G150 1kV
20076246	AXPK-PE 4G240 1kV
20076247	AXPK-PE 4G300 1kV
20076250	AXPK-PLUS 4G25, 1kV
20076251	AXPK-PLUS 4G35, 1kV
20076252	AXPK-PLUS 4G50, 1kV
20076255	AXPK-PLUS 4G120, 1kV
20076257	AXPK-PLUS 4G185, 1kV
20076258	AXPK-PLUS 4G240 1kV
20076259	AXPK-PLUS 4G300 1kV
20076223	AXPK 4G25 1kV T500
20076225	AXPK 4G35 1kV T3000
20076229	AXPK 4G70 1kV T1600
20076237	AXPK-PE 4G16 RM 1kV
20076248	ARLC 4G25 + 2.5Cu 1kV
20076227	AXPK 4G50 1kV T2000
20076232	AXPK 4G120 1kV T500
20076238	AXPK-PE 4G25 1kV
20076220	AXPK 4G16 RE 1kV
20076249	ARLC 4G35 + 2.5Cu 1kV
20079317	AXPK-PLUS 4G16 RM, 1kV
20079318	AXPK-PLUS 4G16 RE
20079326	AHL 16
20079320	AXPK-PLUS 1x500  1kV
20079319	AXPK-PLUS 1x800  1kV
20094382	HIK-AL-M 4x16 0,6/1kV
20094394	HIK-AL-M 4x25 0,6/1kV
20079321	SE-N1XE-AU 4G16 1kV
20079322	AXPK-PLUS 1x300  1kV
20079323	SE-N1XV-AR 5G25 1kV
20079324	SE-N1XV-AR 5G16 1kV
20079325	SE-N1XE-AU 5G16 1kV
20079327	ACK-300 AN /Germany
20079328	ACK-185 AN /Germany
20102231	SE-N1XE-AS 4G50
20102234	SE-N1XE-AS 4G150
20102241	SE-N1XZ1-AS 4G95
20102243	SE-N1XZ1-AS 4G240
20102236	SE-N1XE-AS 4G240
20102242	SE-N1XZ1-AS 4G150
20102232	SE-N1XE-AS 4G95
20102240	SE-N1XZ1-AS 4G50
20123891	BANEKABEL 1x120 PEX-AL GRYE/BK
20094383	HIK-AL-M 5G16 0,6/1kV
20094395	HIK-AL-M 5G25 0,6/1kV
20119355	AXPK-PLUS 3x16 RE 1kV
20123890	BANEKABEL 1x120 PEX-AL GY/BK
20123892	1x50 HIL-AL-R 1kV GRYE
20082228	SACK 35 / AMKA Sale
20097601	AXPK-PLUS 5G16 RE, 1kV
20101122	Katestustoode (TFXP)
20111654	ARLC 4G16 + 2.5Cu 1kV
20117639	SE-N1XZ1-AS 4G50 1kV
20117640	SE-N1XZ1-AS 4G95 1kV
20117641	SE-N1XZ1-AS 4G150 1kV
20117642	SE-N1XZ1-AS 4G240 1kV
20123894	BANEKABEL 1x150 PEX-AL GY/BK
20123897	BANEKABEL 1x25 PEX-AL GRYE
20123895	BANEKABEL 1x70 PEX-M-AL GRYE
20134353	CCSX 150 AL3 WK; 20kV
20136734	SE-N1XE-AR Light 4G16 GUL
20136735	SE-N1XE-AR Light 4G25
20165423	HIK-AL-S 4x50 0,6/1kV
20134352	CCSX 120 AL3 WK; 20kV
20080727	JOMPPI 95, 20 kV
20081198	SACK 35 / AMKA - ära kasuta!
20094093	HIKJ-AL 1G70 0,6/1kV
20094095	HIKJ-AL 1G120 0,6/1kV
20094098	HIKJ-AL 1G50 0,6/1kV
20094094	HIKJ-AL 1G95 0,6/1kV
20094097	HIKJ-AL 1G240 0,6/1kV
20094121	SE-N1XE-ARO 5G25 OPTO R
20094096	HKJ-AL 1G150 0,6/1kV
20097902	TFXP 4G95 AFV 3-LAG SPESIAL, 1kV
20111214	AHL 7
20112072	ARLC-PLUS 4G16 + 2.5Cu 1kV
20102078	ACK-500 AN /Germany
20123893	BANEKABEL 1x50 PEX-AL GRYE
20123896	BANEKABEL 1x70 PEX-M-AL BK
20123898	BANEKABEL 1x70 PEX-AL GRYE
20123899	1x70 HIL-AL-R 1kV BK
20123900	BANEKABEL 1x25 PEX-M-AL GRYE
20132898	HIK-AL-M 5G16 0,6/1kV lindiga!
20132900	HIK-AL-M 5G25 0,6/1kV lindiga!
20132897	HIK-AL-M 4x16 0,6/1kV lindiga!
20132899	HIK-AL-M 4x25 0,6/1kV lindiga!
20134349	CCSX 50 AL3 WK; 20kV
20134351	CCSX 95 AL3 WK; 20kV
20134348	CCSX 35 AL3 WK; 20kV
20134350	CCSX 70 AL3 WK; 20kV
20130649	1x240 HIK-AL-R 1kV BK/BK
20130171	1x120 HIK-AL-R 1kV GRYE/GRYE
20130172	1x150 HIK-AL-R 1kV BK/BK
20130697	EX 4x16 1kV
20136733	SE-N1XE-AR Light 4G16
20139991	HIK-AL-M 4x25 0,6/1kV
20139992	HIK-AL-M 5G25 0,6/1kV
20165426	HIK-AL-S 4x240 0,6/1kV
20165425	HIK-AL-S 4x150 0,6/1kV
20165424	HIK-AL-S 4x95 0,6/1kV
20164811	ARLC-PLUS 4G25 + 2.5Cu 1kV
20137142	SE-N1XZ1-AR 5G25  1kV
20137140	SE-N1XZ1-AR 5G16  1kV
20137139	SE-N1XZ1-AR 4G16 1kV
20136736	SE-N1XE-AR Light 4G25 GUL
20136737	SE-N1XE-AR Light 5G16
20138110	AXPK-PE 4G95  0,6/1 kV
20139430	HIK-AL-M 5G16 0,6/1kV
20164933	66-AL1
20164934	70-AL1/11-ST1A
20164843	XPUJ 5G16 450/750 V
20162350	TFXP-JETNet 4x150AFV, 1kV
20163575	XPUJ 500V 5G2,5 R100
20162156	XPJ 750V 5G25
20162235	XPJ 500V 5G2,5 T750
20166011	XPK 5G2,5 1kV
20166013	XPK 3G2,5 1kV
20166010	XPK 5G1,5 1kV
20137141	SE-N1XZ1-AR 4G25  1kV
20136739	SE-N1XE-AR Light 5G25
20136738	SE-N1XE-AR Light 5G16 GUL
20136740	SE-N1XE-AR Light 5G25 GUL
20138107	AXPK-PE 4G16 RE 0,6/1 kV
20138108	AXPK-PE 4G35  0,6/1 kV
